word,part_of_speech,topic,context
nature,n,,
natural,adj,,
near,adv & prep,,
OK,exclam,,
okay,exclam,,
nearly,adv,,
old,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
neck,n,"Health, Medicine and Exercise",
Olympic,adj,,
necklace,n,Clothes and Accessories,
omelette,n,Food and Drink,
need,v,,
on,prep & adv,Clothes and Accessories; Travel and Transport,
neighbour,n,Family and Friends,
once,adv,,
nervous,adj,,
nest,n,,
one,det & pron,,
net,n,Communication and Technology,
onion,n,Food and Drink,
online,adj & adv,Communication and Technology,
never,adv,,
only,adv & adj,,
new,adj,Entertainment and Media,
news,n,Entertainment and Media,
newspaper,n,Documents and Texts; Entertainment and Media,
open,adj & v,Shopping,
next,adj & adv,,
opera,n,Entertainment and Media,
next to,prep,,
opinion,n,,
nice,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
opposite,prep,,
night,n,Time,
or,conj,,
no,"adv, det & pron",,
orange,adj & n,Colours; Food and Drink,
nobody,pron,,
order,n & v,,
noise,n,,
noisy,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
noon,n,Time,
other,det & pron,,
no one,pron,,
our,det,,
normal,adj,,
ours,pron,,
north,"n, adj & adv",The Natural World,
ourselves,pron,,
nose,n,"Health, Medicine and Exercise",
out,adv,,
penny,n,Shopping,
outdoor,adj,,
people,n pl,,
outdoors,adv,,
pepper,n,Food and Drink,
out of,prep,,
per,prep,,
outside,prep & adv,,
perfect,adj,,
oven,n,Appliances; House and Home,
perform,v,,entertain
over,prep & adv,,
performance,n,,entertainment
perfume,n,,
perhaps,adv,,
person,n,,
own,adj,,
pet,n,,
petrol,n,Travel and Transport,
petrol station,n,Places: Town and City; Services; Travel and Transport,
pharmacy,n,Places: Buildings,
phone,v & n,Appliances; Communication and Technology,
photo,n,,
photograph,n,,
pack,v,,
photographer,n,Entertainment and Media; Work and Jobs,
photography,n,Communication and Technology; Entertainment and Media,
page,n,,
physics,n,Education,
pain,n,"Health, Medicine and Exercise",
piano,n,Entertainment and Media,
paint,v & n,Entertainment and Media; Hobbies and Leisure,
pick up,phr v,,
painter,n,Entertainment and Media; Work and Jobs,
picnic,n,Food and Drink; Hobbies and Leisure,
painting,n,,
picture,n,Entertainment and Media,
pale,adj,Colours,
piece,n,Food and Drink,
pair,n,,
pillow,n,House and Home,
panda,n,,
pilot,n,Travel and Transport; Work and Jobs,
paper,n & adj,,
pink,adj,Colours,
paragraph,n,,
pity,n,,
pardon,exclam,,
pizza,n,Food and Drink,
parent,n,Family and Friends,
place,n,,
park,n & v,Hobbies and Leisure; Places: Town and City; Travel and Transport,
parrot,n,,
part,n,,
plan,n & v,,
partner,n,,
plane,n,Travel and Transport,
party,n,Hobbies and Leisure,
pass,v,,
plant,n,The Natural World,
plastic,n & adj,,
plate,n,Food and Drink,
passenger,n,Travel and Transport,
platform,n,Travel and Transport,
passport,n,Documents and Texts; Travel and Transport,
password,n,Communication and Technology,
play,v & n,Entertainment and Media; Sport,
past,prep & n,Time,
to play football,v,,
pasta,n,Food and Drink,
player,n,Sport,
path,n,Places: Countryside,
playground,n,Places: Town and City,
pay,v,Shopping,
pleasant,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
PC,n,Appliances; Communication and Technology,
personal computer,n,Appliances; Communication and Technology,
please,v & exclam,,
pear,n,Food and Drink,
pen,n,,
pence,n,,
pencil,n,,
pleased,adj,,
pencil case,n,,
plus,prep,,
penfriend,n,Family and Friends,
p.m.,adv,Time,
penguin,n,,
pocket,n,Clothes and Accessories,
point,v,,
puzzle,n,,
polar bear,n,,
police,n,,
police car,n,,
police officer,n,Work and Jobs,
police station,n,Places: Buildings,
quarter,n,Measurements; Time,
polite,adj,,
pool,n,Sport,
queen,n,Work and Jobs,
poor,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
question,n,,
poor thing,adj,,
poor you,adj,,
quick,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
pop,n,Entertainment and Media,
quickly,adv,,
quiet,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
popular,adj,,
port,n,,
possible,adj,,
quite,adv,,
possibly,adv,,
post,v & n,,
quiz,n,Hobbies and Leisure,
postcard,n,Documents and Texts,
poster,n,,
post office,n,Places: Buildings; Services,
potato,n,Food and Drink,
pound,n,Shopping,
practise,v,Education; Entertainment and Media; Sport,
rabbit,n,,
race,n & v,Sport,
prefer,v,,
would prefer,v,,
racket,n,Sport,
prepare,v,,
present,n,,
radio,n,Appliances; Entertainment and Media,
railway,n,Places: Buildings; Places: Countryside; Places: Town and City; Travel and Transport,
railway station,n,Places: Buildings; Places: Countryside; Places: Town and City; Travel and Transport,
pretty,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
rain,n & v,Weather,
price,n,Shopping,
raincoat,n,Clothes and Accessories,
print,v,,
rainforest,n,Places: Countryside,
printer,n,Communication and Technology,
rap,n,,
prize,n,Sport,
probably,adv,,
read,v,Education; Entertainment and Media,
problem,n,"Health, Medicine and Exercise",
reading,n,,
program,n,,
ready,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
programme,n,Entertainment and Media,
real,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
really,adv,,
project,n,Documents and Texts; Education; Entertainment and Media,
reason,n,,
receipt,n,Shopping,
pull,v,,
receive,v,,
recently,adv,,
pupil,n,Education,
receptionist,n,Work and Jobs,
puppy,n,,
recipe,n,,
purple,adj,Colours,
record,v,,
purse,n,Clothes and Accessories,
push,v,,
put,v,,
red,adj,Colours,
put on,phr v,,
refrigerator,n,House and Home,
relax,v,,become happy
sale,n,,
relaxing,adj,,
remember,v,Education,
rent,v,Shopping,
salt,n,Food and Drink,
repair,v,Travel and Transport,
same,adj & pron,,
repeat,v,,
rest,n & v,"Health, Medicine and Exercise; Sport",
sandwich,n,Food and Drink,
Saturday,n,,
sauce,n,Food and Drink,
restaurant,n,Services,
sausage,n,Food and Drink,
return,n & v,Travel and Transport,
save,v,,
say,v,,
review,n,,
scared,adj,,
rice,n,Food and Drink,
scarf,n,Clothes and Accessories,
rich,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
scary,adj,,
ride,n & v,Sport; Travel and Transport,
school,n,Communication and Technology; Education; Entertainment and Media; Food and Drink; House and Home; Places: Buildings; Places: Countryside; Sport,
riding,n,Sport,
schoolchild,n,,
science,n,Education,
scientist,n,,
right,"n, adj & adv","Personal Feelings, Opinions and Experiences (adjectives); Travel and Transport",
scissors,n pl,,
scooter,n,,
score,"n, v",,
screen,n,Communication and Technology; Entertainment and Media,
sea,n,Places: Countryside; Sport; The Natural World,
season,n,,
right hand,adj,,
seat,n,Travel and Transport,
ring,n & v,Clothes and Accessories,
second,"adj, det & n",Measurements; Time,
secretary,n,Work and Jobs,
see,v,,
seem,v,,
river,n,Places: Countryside; The Natural World,
road,n,Places: Town and City; Travel and Transport,
roast,v & adj,Food and Drink,
selfie,n,,
rock,n,Entertainment and Media,
sell,v,,
send,v,,
roof,n,House and Home,
sentence,n,,
room,n,House and Home,
September,n,,
serious,adj,,
round,adj,,
roundabout,n,Places: Town and City; Travel and Transport,
serve,v,,
set,n,,
several,det & pron,,
shall,mv,,
rugby,n,Sport,
shame,n,,
ruler,n,Education,
run,v,"Health, Medicine and Exercise; Sport",
shampoo,n & v,,
runner,n,,
share,v,,
running,n,,
share,v,,digitally
sad,adj,,
shark,n,,
safe,adj,House and Home,
she,pron,,
sail,v,,
sheep,n,,
sailing,n,Sport; Travel and Transport,
sheet,n,,
salad,n,Food and Drink,
slow,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
slowly,adv,,
small,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
shelf,n,House and Home,
smart,adj,,stylish
ship,n,Travel and Transport,
smart,adj,"Education; Personal Feelings, Opinions and Experiences (adjectives)",clever
shirt,n,Clothes and Accessories,
smoke,v,,
shoe,n,Clothes and Accessories,
smoking,n,,
shop,n & v,Places: Buildings; Shopping,
snack,n,Food and Drink,
shop assistant,n,Shopping; Work and Jobs,
snail,n,,
shopper,n,Shopping; Work and Jobs,
snake,n,,
shopping,n,Hobbies and Leisure; Shopping,
snow,n & v,Weather,
snowboard,n,Sport,
shopping centre,n,,
snowboarding,n,Sport,
short,adj,Clothes and Accessories,
so,conj & adv,,
shorts,n pl,Clothes and Accessories,
should,mv,,
shout,v,,
soap,n,"Health, Medicine and Exercise",
soccer,n,Sport,
show,v & n,Entertainment and Media,
social media,n,,
sock,n,Clothes and Accessories,
sofa,n,House and Home,
soft,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
shower,n,House and Home,
software,n,Communication and Technology,
shut,v,,
some,det & pron,,
shy,adj,,
somebody,pron,,
sick,adj,"Health, Medicine and Exercise",
someone,pron,,
side,n,,
something,pron,,
sometimes,adv,,
sightseeing,n,,
somewhere,adv,,
sign,n,,
son,n,Family and Friends,
silver,n & adj,Colours,
song,n,Entertainment and Media,
similar,adj,,
soon,adv,,
simple,adj,,
sorry,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
since,prep,,
sing,v,Entertainment and Media,
singer,n,Entertainment and Media; Work and Jobs,
singing,n,,
sort,n,,
single,adj,,
sound,v,,
sink,n,House and Home,
sister,n,Family and Friends,
sit,v,,
sit down,phr v,,
soup,n,Food and Drink,
site,n,,
south,"n, adj & adv",The Natural World,
space,n,The Natural World,
sitting room,n,House and Home,
spare,adj,,
size,n,,
skate,v,Sport,
speak,v,,
skateboard,n,Sport,
speaker,n,,
skateboarding,n,,
special,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
skating,n,,
spell,v,,
ski,v,Sport,
spelling,n,,
skiing,n,Sport,
spend,v,Shopping,
skirt,n,Clothes and Accessories,
sky,n,Places: Countryside; The Natural World,
sleep,v,,
spider,n,,
slice,n,Food and Drink,
spoon,n,,
slim,adj,,
sport,n,Sport,
sports centre,n,Places: Buildings; Services; Sport,
spring,n,The Natural World; Time,
suitcase,n,Travel and Transport,
summer,n,The Natural World; Time,
square,n & adj,Places: Town and City,
sun,n,Weather,
stadium,n,Places: Buildings; Sport,
Sunday,n,Time,
staff,n,Work and Jobs,
sunglasses,n pl,Clothes and Accessories,
stage,n,,
sunny,adj,Weather,
stairs,n pl,,
supermarket,n,Places: Buildings; Shopping,
stamp,n,,
supper,n,,
suppose,v,,
stand,v,,
star,n & v,The Natural World,
sure,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
start,v,,
station,n,Places: Town and City; Travel and Transport,
surf,v,Sport,
stay,v,House and Home,
surfboard,n,Sport,
surfboarding,n,Sport,
surfing,n,,
surname,n,Family and Friends,
steak,n,Food and Drink,
surprise,n,,
steal,v,,
surprised,adj,,
surprising,adj,,
swan,n,,
still,adv,,
sweater,n,Clothes and Accessories,
stomach,n,"Health, Medicine and Exercise",
sweet,n & adj,"Food and Drink; Personal Feelings, Opinions and Experiences (adjectives)",
stomach ache,n,"Health, Medicine and Exercise",
swim,v & n,"Health, Medicine and Exercise; Sport",
stop,n & v,Travel and Transport,
store,n,Shopping,
storm,n,Weather,
story,n,,
swimming,n,Sport,
straight,adj & adv,Travel and Transport,
swimming costume,n,Clothes and Accessories; Sport,
swimming pool,n,Places: Buildings; Services; Sport,
swimsuit,n,Clothes and Accessories; Sport,
strange,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
strawberry,n,Food and Drink,
street,n,Places: Town and City; Travel and Transport,
striped,adj,,
table,n,,
stripes,n,,
table tennis,n,Sport,
strong,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
tablet,n,Communication and Technology,
student,n,Education; Work and Jobs,
studies,n pl,Education,
tail,n,,
study,v,Education,
take,v,,
stuff,n,,
subject,n,Education,
take off,phr v,,
success,n,,
take part,v,,
successful,adj,,
talk,n & v,Communication and Technology,
tall,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
such,det,,
tasty,adj,,
suddenly,adv,,
taxi,n,Travel and Transport,
sugar,n,Food and Drink,
tea,n,Food and Drink,
suggest,v,,
suggesting,v,,
teach,v,Education,
teacher,n,Education; Work and Jobs,
team,n,Sport,
suit,n,Clothes and Accessories,
technology,n,,
tomorrow,n & adv,Time,
teenager,n,Family and Friends,
tonight,n & adv,Time,
telephone,n & v,Appliances; Communication and Technology,
tortoise,n,,
television,n,Appliances; Entertainment and Media,
TV,n,Appliances; Entertainment and Media,
too,adv,,
tell,v,,
tooth,n,"Health, Medicine and Exercise",
temperature,n,"Health, Medicine and Exercise; Measurements",
toothache,n,"Health, Medicine and Exercise",
toothbrush,n,"Health, Medicine and Exercise",
top,n,,
tennis,n,Sport,
tennis player,n,Sport; Work and Jobs,
tent,n,Hobbies and Leisure,
topic,n,,
term,n,Education,
total,adj & n,,
terrible,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
test,n,Education,
tour,n,Travel and Transport,
text,n & v,Communication and Technology; Documents and Texts,
textbook,n,Documents and Texts,
tour guide,n,Travel and Transport; Work and Jobs,
text message,n,,
tourist,n,Services; Travel and Transport,
than,prep & conj,,
tourist information centre,n,Travel and Transport,
thank,v,,
towel,n,House and Home,
thanks,exclam,,
town,n,Places: Town and City,
thank you,exclam,,
toy,n,,
that,conj & pron,,
traffic,n,Travel and Transport,
the,det,,
traffic light,n,Travel and Transport,
theatre,n,Entertainment and Media; Places: Buildings; Services,
theater,n,Entertainment and Media; Places: Buildings; Services,
train,n,Travel and Transport,
their,det,,
train,v,Travel and Transport,transitive and intransitive
theirs,pron,,
them,pron,,
training,n,,transitive and intransitive
themselves,pron,,
then,adv,,
trainer,n,Clothes and Accessories; Sport,
there,adv,,
these,det & pron,,
tram,n,Travel and Transport,
they,pron,,
transport,n,,
thin,adj,,
travel,v,Travel and Transport,
thing,n,,
tree,n,The Natural World,
think,v,,
trip,n,Travel and Transport,
thirsty,adj,Food and Drink,
trouble,n,,
this,det & pron,,
trousers,n pl,Clothes and Accessories,
those,det & pron,,
TRUE,adj,,
through,prep,,
try,v,Clothes and Accessories,
throw,v,Sport,
try on,phr v,Shopping,
thunderstorm,n,Weather,
T-shirt,n,Clothes and Accessories,
Thursday,n,,
Tuesday,n,,
ticket,n,Documents and Texts; Entertainment and Media; Sport; Travel and Transport,
tune,n,Entertainment and Media; Hobbies and Leisure,music
tidy,adj & v,,
turn,v,,
tidy up,v,,
turn off,phr v,,
tie,n,Clothes and Accessories,
tiger,n,,
turn on,phr v,,
tights,n pl,Clothes and Accessories,
till,prep,,
twice,adv,,
time,n,Time,
type,n,,
timetable,n,,
tyre,n,Travel and Transport,
tire,n,Travel and Transport,
tired,adj,"Health, Medicine and Exercise; Personal Feelings, Opinions and Experiences (adjectives); Sport",
title,n,,
to,prep,,
toast,n,Food and Drink,
today,n & adv,Time,
umbrella,n,Clothes and Accessories,
toe,n,,
uncle,n,Family and Friends,
together,adv,,
under,prep,,
toilet,n,House and Home,
underground,n & adj,Places: Town and City; Travel and Transport,
tomato,n,Food and Drink,
understand,v,,
way,n,Travel and Transport,
unfortunately,adj,,
unhappy,n,"Personal Feelings, Opinions and Experiences (adjectives)",
uniform,n,Clothes and Accessories; Work and Jobs,
university,n,Education; Places: Buildings,
until,prep,,
we,pron,,
unusual,adj,,
wear,v,Clothes and Accessories,
up,prep & adv,,
weather,n,Weather,
upload,v,,
web,n,Communication and Technology,
upset,adj,,
web page,n,Communication and Technology,
upstairs,adv,,
website,n,Communication and Technology,
us,pron,,
Wednesday,n,,
use,v,,
week,n,Measurements; Time,
useful,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
weekday,n,Time,
usual,adj,,
weekend,n,Time,
usually,adv,,
weekly,adj & adv,Time,
welcome,adj & exclam,,
well,adv & adj,"Health, Medicine and Exercise; Personal Feelings, Opinions and Experiences (adjectives)",
versus,prep,Sport,
well known,adj,,
west,"n, adj & adv",The Natural World,
variety,n,,
wet,adj,Weather,
various,adj,,
whale,n,,
vegetable,n,Food and Drink,
what,det & pron,,
very,adv,,
wheel,n,Travel and Transport,
video,n,Appliances; Communication and Technology; Entertainment and Media,
when,adv,,
video game,n,Entertainment and Media; Hobbies and Leisure,
where,adv,,
view,n,,
which,det & pron,,
village,n,Places: Countryside,
while,conj,,
violin,n,,
white,adj,Colours,
visit,v & n,Travel and Transport,
who,pron,,
whole,adj & n,,
visitor,n,Travel and Transport,
vocabulary,n,,
volleyball,n,Sport,
whose,det & pron,,
why,adv,,
wide,adj,,
wife,n,Family and Friends,
wifi,n,,
wait,v,,
wild,adj,,
waiter,n,Food and Drink; Work and Jobs,
waitress,n,Food and Drink; Work and Jobs,
wildlife,n,,
wake,v,,
will,mv,,
wake up,phr v,,
win,v,Sport,
walk,v & n,"Health, Medicine and Exercise; Sport",
wind,n,Weather,
window,n,Travel and Transport,
walking,n,,
windsurfing,n,Sport,
wall,n,,
windy,adj,Weather,
wallet,n,Clothes and Accessories,
wing,n,,
want,v,,
winner,n,Sport,
wardrobe,n,,
winter,n,The Natural World; Time,
warm,adj,Weather,
wish,n,,
wash,v,,
washing machine,n,Appliances,
with,prep,,
washing-up,n,,
without,prep,,
wash up,phr v,Food and Drink,
woman,n,,
watch,n & v,Clothes and Accessories; Entertainment and Media; Sport,
wonderful,adj,,
water,n,The Natural World,
wood,n,Places: Countryside; The Natural World,
wooden,adj,,
wool,n,The Natural World,
word,n,,
work,n & v,Work and Jobs,
work out,phr v,,
worker,n,Work and Jobs,
working hours,n,Time,
world,n,The Natural World,
worried,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
worry,v,,
worse,adj,,
worst,adj,,
would,mv,,
wow,exclam,,
write,v,,
write down,phr v,,
writer,n,Work and Jobs,
writing,n,,
wrong,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
Yeah!,exclam,,
year,n,Measurements; Time,
yellow,adj,Colours,
yes,adv,,
yesterday,adv,Time,
yet,adv,,
yoghurt,n,Food and Drink,
yogurt,n,Food and Drink,
you,pron,,
young,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
your,det,,
yours,pron,,
yourself,pron,,
zebra,n,,
zero,n,,
zoo,n,Places: Town and City,
two,det & pron,,
three,det & pron,,
four,det & pron,,
five,det & pron,,
six,det & pron,,
seven,det & pron,,
eight,det & pron,,
nine,det & pron,,
ten,det & pron,,
eleven,det & pron,,
twelve,det & pron,,
thirteen,det & pron,,
fourteen,det & pron,,
fifteen,det & pron,,
sixteen,det & pron,,
seventeen,det & pron,,
eighteen,det & pron,,
nineteen,det & pron,,
twenty,det & pron,,
thirty,det & pron,,
forty,det & pron,,
fifty,det & pron,,
sixty,det & pron,,
seventy,det & pron,,
eighty,det & pron,,
ninety,det & pron,,
hundred,det & pron,,
thousand,det & pron,,
third,adv & adj,,
fourth,adv & adj,,
fifth,adv & adj,,
sixth,adv & adj,,
seventh,adv & adj,,
eighth,adv & adj,,
ninth,adv & adj,,
tenth,adv & adj,,
eleventh,adv & adj,,
twelfth,adv & adj,,
thirteenth,adv & adj,,
fourteenth,adv & adj,,
fifteenth,adv & adj,,
sixteenth,adv & adj,,
seventeenth,adv & adj,,
eighteenth,adv & adj,,
nineteenth,adv & adj,,
twentieth,adv & adj,,
twenty-first,adv & adj,,
twenty-second,adv & adj,,
twenty-third,adv & adj,,
twenty-fourth,adv & adj,,
twenty-fifth,adv & adj,,
twenty-sixth,adv & adj,,
twenty-seventh,adv & adj,,
twenty-eighth,adv & adj,,
twenty-ninth,adv & adj,,
thirtieth,adv & adj,,
thirty-first,adv & adj,,
Africa,n,,
Antarctica,n,,
Asia,n,,
Australia,n,,
Europe,n,,
North America,n,,
South America,n,,
Brazil,n,,
Brazilian,adj,,
Canada,n,,
Canadian,adj,,
China,n,,
Chinese,adj,,
France,n,,
French,adj,,
Ireland,n,,
Irish,adj,,
India,n,,
Indian,adj,,
Italy,n,,
Italian,adj,,
Spain,n,,
Spanish,adj,,
