word,part_of_speech,topic,context
bus,n,Travel and Transport,
carpet,n,House and Home,
business,n,Work and Jobs,
carrot,n,Food and Drink,
businessman,n,Work and Jobs,
carry,v,,
businesswoman,n,Work and Jobs,
cartoon,n,Entertainment and Media,
business person,n,,
case,n,Travel and Transport,
bus station,n,Places: Town and City; Travel and Transport,
cash,n & v,Shopping,
bus stop,n,Places: Town and City; Travel and Transport,
castle,n,Places: Buildings,
busy,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
cat,n,,
but,conj,,
catch,v,Sport,
butter,n,Food and Drink,
CD,n,Appliances; Communication and Technology; Entertainment and Media; Hobbies and Leisure,
butterfly,n,,
CD player,n,Appliances; Communication and Technology; Entertainment and Media; Hobbies and Leisure,
buy,v,Shopping,
ceiling,n,,
by,prep,,
cell phone,n,Appliances; Communication and Technology,
by accident,prep phr,,
celebrate,v,,
by the way,prep phr,,
by post,prep phr,Communication and Technology,
celebrity,n,,
bye,exclam,,
cent,n,Shopping,
centre,n,,
center,n,,
centimetre,n,Measurements,
centimeter,n,Measurements,
century,n,Time,
cereal,n,Food and Drink,
cloud,n,Weather,
certainly,adv,,
cloudy,adj,Weather,
chain,n,Clothes and Accessories,
clown,n,,
club,n,Hobbies and Leisure; Sport,
coach,n,Education; Sport; Travel and Transport; Work and Jobs,
chair,n,House and Home,
change,v & n,Shopping,
coat,n,Clothes and Accessories,
channel,n,,
coast,n,,
character,n,,
coffee,n,Food and Drink,
cola,n,Food and Drink,
cold,adj & n,"Health, Medicine and Exercise; Weather",
chat,n,Communication and Technology,
chatroom,n,,
colleague,n,,
cheap,adj,Shopping,
collect,v,Hobbies and Leisure,
check,v,"Health, Medicine and Exercise",
college,n,Education; Places: Buildings,
colour,n & v,,
cheese,n,Food and Drink,
comb,n,"Health, Medicine and Exercise",
chef,n,Food and Drink,
come,v,,
chemist,n,"Health, Medicine and Exercise; Work and Jobs",
drugstore,n,"Health, Medicine and Exercise; Work and Jobs",
come back,v,,
chemistry,n,Education,
cheque,n,Shopping,
chess,n,Entertainment and Media,
chicken,n,Food and Drink,
comedy,n,,
child,n,Family and Friends,
comfortable,adj,,
chilli,n,Food and Drink,
comic,n,Documents and Texts,
chips,n pl,Food and Drink,
biscuit,n pl,Food and Drink,
company,n,Work and Jobs,
chocolate,n,Food and Drink,
competition,n,Entertainment and Media; Sport,
choose,v,,
complete,v,,
cinema,n,Entertainment and Media; Places: Buildings; Services,
computer,n,Appliances; Communication and Technology; Hobbies and Leisure; House and Home; Work and Jobs,
circle,n,,
concert,n,Entertainment and Media,
circus,n,,
